task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,1,0,0,0,2.15,"(row=0, col=4);(1,4);(2,4);(3,4)"
fold2,verifier_guided,1,1,0,0,0.37,"(1,4);(2,4)"
fold2,verifier_guided,1,2,0,0,0.3,"(row=1, col=1);(row=2, col=3)"
fold2,verifier_guided,1,3,0,0,0.39,"(row=3, col=4);(row=3, col=5)"
fold2,verifier_guided,1,4,0,0,0.33,"(row=0, col=3);(col=2)"
fold2,verifier_guided,1,5,0,0,0.55,"(row=0, col=3);(row=1, col=3);(row=3, col=2)"
fold2,verifier_guided,1,6,0,0,0.4,"(row=4, col=3);(col=4)"
fold2,verifier_guided,1,7,0,0,0.37,"(0,4);(1,4)"
fold2,verifier_guided,1,8,0,0,0.45,"(row=2, col=3);(row=3, col=2)"
fold2,verifier_guided,1,9,0,0,0.38,"(1, 4);(1, 5)"
fold2,verifier_guided,1,10,0,0,0.66,"(row=1, col=1);(row=2, col=2);(row=3, col=0);(row=3, col=4)"
fold2,verifier_guided,1,11,0,1,0.37,"(3,3);(3,4)"
fold2,verifier_guided,1,12,0,0,0.42,"(1,4);(2,4);(3,4);(4,4)"
fold2,verifier_guided,1,13,0,1,0.21,"(1,2);(2,1)"
fold2,verifier_guided,1,14,0,1,0.37,"(1,3);(3,3)"
fold2,verifier_guided,1,15,0,0,0.49,"(row=0, col=0);(row=1, col=1);(row=2, col=1)"
fold2,verifier_guided,1,16,0,0,0.39,"(row=4,col=4);(col=1)"
fold2,verifier_guided,1,17,0,0,0.49,"(row=4, col=3);(row=5, col=3);(row=4, col=2)"
fold2,verifier_guided,1,18,0,1,0.42,"(0,2);(1,2);(2,2)"
fold2,verifier_guided,1,19,0,1,0.22,"(1,3);(2,2)"
fold2,verifier_guided,4,0,0,1,1.08,"(1,1);(2,2)"
fold2,verifier_guided,4,1,0,1,1.12,"(1,1);(1,3);(3,1);(3,3)"
fold2,verifier_guided,4,2,0,0,0.95,"(row=3, col=2);(row=0, col=3)"
fold2,verifier_guided,4,3,0,0,1.25,(row=2;col=4);(row=3;col=4)
fold2,verifier_guided,4,4,0,1,0.93,"(row=3, col=3);(3,3)"
fold2,verifier_guided,4,5,0,0,1.16,"(row=2, col=4);(col=1)"
fold2,verifier_guided,4,6,0,0,1.2,"(row=2, col=2);(row=1, col=3)"
fold2,verifier_guided,4,7,0,0,1.03,"(row=3,col=4);(col=3)"
fold2,verifier_guided,4,8,0,1,1.24,"(3,4);(2,3)"
fold2,verifier_guided,4,9,0,0,1.1,"(row=2, col=1);(row=2, col=3)"
fold2,verifier_guided,4,10,0,0,1.2,"(row=2, col=2);(row=3, col=3)"
fold2,verifier_guided,4,11,0,0,1.14,"(row=2, col=3);(row=1, col=1)"
fold2,verifier_guided,4,12,0,0,1.16,"(row=2, col=2);(row=3, col=2)"
fold2,verifier_guided,4,13,0,1,1.05,"(3,0);(3,1)"
fold2,verifier_guided,4,14,0,0,1.11,"(row=3, col=4);(col=3)"
