task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,1,0,0,1,4.0,"(1, 3);(1, 2);(2, 3);(2, 1);(3, 0);(3, 1)"
fold2,verifier_guided,1,1,0,1,0.66,"(1,4);(1,5);(2,4);(3,2);(3,3);(4,0);(4,1)"
fold2,verifier_guided,1,2,0,1,0.5,"(2,0);(2,1);(0,1);(0,2);(1,2);(3,2)"
fold2,verifier_guided,1,3,0,1,0.54,"(0,2);(0,3);(2,2);(2,3);(3,2);(3,3)"
fold2,verifier_guided,1,4,0,1,0.57,"(3,2);(3,4);(1,2);(1,4);(2,2);(2,4)"
fold2,verifier_guided,1,5,0,1,0.57,"(0,2);(1,1);(1,2);(2,0);(2,1);(3,0)"
fold2,verifier_guided,1,6,0,1,0.47,"(2,2);(2,3);(1,3);(1,2)"
fold2,verifier_guided,1,7,0,1,0.47,"(2,2);(2,3);(3,2);(3,3)"
fold2,verifier_guided,1,8,0,1,0.51,"(1, 2);(2, 2);(3, 2);(4, 2)"
fold2,verifier_guided,1,9,0,1,0.75,"(1,2);(1,3);(2,3);(2,4);(3,0);(3,1);(3,2);(4,1);(4,2)"
fold2,verifier_guided,1,10,0,1,0.46,"(0,0);(1,2);(2,1);(3,2)"
fold2,verifier_guided,1,11,0,1,0.66,"(0, 0); (0, 1); (1, 1); (2, 2); (2, 3); (3, 3)"
fold2,verifier_guided,1,12,0,1,0.63,"(0, 0);(0, 1);(1, 1);(1, 2);(2, 2);(3, 2)"
fold2,verifier_guided,1,13,0,1,0.44,"(0, 3);(1, 3);(2, 1);(3, 0)"
fold2,verifier_guided,1,14,0,1,0.53,"(1,3);(2,3);(2,2);(0,3);(0,2)"
fold2,verifier_guided,1,15,0,1,0.44,"(1,3);(0,2);(3,2);(2,3)"
fold2,verifier_guided,1,16,0,1,0.59,"(1,4);(2,4);(3,2);(3,0);(0,2);(0,3)"
fold2,verifier_guided,1,17,0,1,0.5,"(1,1);(2,1);(2,2);(3,2);(4,2)"
fold2,verifier_guided,1,18,0,1,0.47,"(1,1);(1,3);(3,1);(3,3)"
