task,scaffold,K,instance,correct,valid,seconds,response_head
maze,verifier_guided,64,20,0,1,20.63,"U,L,L,U,U,U,U,D,U,U"
maze,verifier_guided,64,21,0,1,11.91,"U,D,L,U,U"
maze,verifier_guided,64,22,1,1,4.52,"R,R,D,D,U,U,U"
maze,verifier_guided,64,23,0,1,25.64,"U,D,R,U,U,U,L,U,U,U,R,U,L"
maze,verifier_guided,64,24,0,1,14.54,"U,L,L,U,R,R"
maze,verifier_guided,64,25,0,1,20.11,"D,L,L,U,U,U,Right"
maze,verifier_guided,64,26,0,1,12.35,"D,L,L,U,U,U,U"
maze,verifier_guided,64,27,1,1,2.01,"D,D,R,R,U,R"
maze,verifier_guided,64,28,1,1,0.17,"D,D,R,R,U,R"
maze,verifier_guided,64,29,0,1,14.83,"D,L,U,D,D"
maze,verifier_guided,64,30,1,1,3.69,"D,D,R,R,U,R,Up,Left,Right,Down,Right,Up,Left,Right,Up,Right,Down"
maze,verifier_guided,64,31,0,1,17.26,"R,U,U,U,L,L,R,L,R"
maze,verifier_guided,64,32,1,1,8.51,"D,D,R,R,U,R"
maze,verifier_guided,64,33,0,1,14.03,"U,D,L,L,U,U,U,U,U,U,R,L,L,R"
maze,verifier_guided,64,34,1,1,4.36,"D,D,R,R,U,Up,Left,Right,Down,Right,Left,Up"
maze,verifier_guided,64,35,0,1,20.89,"D,R,U,U,U,U,L,L,L,L"
maze,verifier_guided,64,36,1,1,4.42,"D,D,R,R,U,R"
maze,verifier_guided,64,37,1,1,17.41,"D,D,R,R,U,R"
maze,verifier_guided,64,38,0,1,17.27,"D,L,L,U,U,U,L,L,UR,DR,UL,DL,RR,UR,LR,DR,DL,RL,UL,DR,LU,UD,LD,RU,DR,RL,LL,DR,RR,UD,LR,DU,RL,DD,UL,DR,LL,LR,DD,RR,LU,RL,UL,UR,LR,DR,RL,DR,LL,RL,RR,DL,LU,DR,LL,RR,LD,DD,LR,RL,LD,RR,DD,LR,UD,RL,LR,RR,UL,U"
maze,verifier_guided,64,39,0,1,38.64,"U,D,L,L,U,U,U,D,U,U,R,L,L,U,U,U,L,U,U,U,L,U"
maze,verifier_guided,64,40,1,1,11.84,"D,D,R,R,U,R"
maze,verifier_guided,64,41,1,1,0.38,"D,D,R,R,U,R,Up,Right,Down,Left,Up,Right"
maze,verifier_guided,64,42,0,1,12.52,"U,R,R,U,U,U,L,L"
maze,verifier_guided,64,43,0,1,30.83,"U,D,L,L,D"
maze,verifier_guided,64,44,1,1,4.91,"D,D,R,R,U,Up,Right,Right"
maze,verifier_guided,64,45,0,1,29.15,"D,R,U,U,U"
maze,verifier_guided,64,46,0,1,19.54,"U,D,L,L,U,U,U,U,L,L"
maze,verifier_guided,64,47,0,1,17.02,"D,L,L,U,U,U"
maze,verifier_guided,64,48,0,1,17.59,"D,L,L,U,U,U,D,L,L"
maze,verifier_guided,64,49,0,1,18.38,"D,L,L,L,U,U,U,Right"
