task,scaffold,K,instance,correct,valid,seconds,response_head
fold2,verifier_guided,1,0,0,1,5.53,"(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,1,1,0,1,1.61,"(0,1);(0,2);(0,3);(1,1);(1,2);(1,3);(2,1);(2,2);(2,3);(3,1);(3,2);(3,3)"
fold2,verifier_guided,1,2,0,1,1.48,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,2);(1,3);(2,0);(2,1);(2,3);(3,0);(3,1)(3,2);(3,3)"
fold2,verifier_guided,1,3,0,1,0.44,"(2,3);"
fold2,verifier_guided,1,4,0,1,0.92,"(2,0);(1,0);(2,1);(1,1);(3,1);(2,2)"
fold2,verifier_guided,1,5,0,1,0.99,"(0,2);(1,2);(2,2);(3,2);(4,2)"
fold2,verifier_guided,1,6,0,1,0.66,"(2,3);(3,3)"
fold2,verifier_guided,1,7,0,1,0.84,"(1,4);(2,3);(3,3);(4,3)"
fold2,verifier_guided,1,8,0,1,0.84,"(1,1);(1,2);(1,3);(2,2)"
fold2,verifier_guided,1,9,0,1,0.94,"(0,1);(0,3);(1,2);(2,3);(3,2)"
fold2,verifier_guided,1,10,0,1,0.83,"(1,2);(2,2);(3,3);(3,4)"
fold2,verifier_guided,1,11,0,1,0.83,"(0,3);(1,3);(2,3);(3,3)"
fold2,verifier_guided,1,12,0,1,1.3,"(0,0);(0,1);(1,0);(1,1);(1,2);(1,3);(2,0);(2,3);(3,2);(4,3)"
fold2,verifier_guided,1,13,0,0,0.44,"(2,4);(3,4);(4,4);"
fold2,verifier_guided,1,14,0,1,1.59,"(0,0);(1,0);(2,0);(3,0);(0,1);(1,1);(2,1);(3,1);(0,2);(1,2);(2,2);(3,2);"
fold2,verifier_guided,1,15,0,1,0.93,"(0,2);(1,2);(2,2);(2,3);(3,2);(3,3)"
fold2,verifier_guided,1,16,0,1,0.74,"(1,3);(2,3);(3,3)"
fold2,verifier_guided,1,17,0,1,0.72,"(0,3);(1,3);(2,3);(3,3);"
fold2,verifier_guided,1,18,0,1,1.81,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,1);(1,3);(2,0);(2,1);(2,2);(2,3);(3,0);(3,1);(3,3)"
fold2,verifier_guided,1,19,0,1,0.94,"(0,0);(0,1);(0,2);(0,3);(1,2);(2,2);(3,2);(3,3)"
fold2,verifier_guided,4,0,0,1,2.01,"(3,3)"
fold2,verifier_guided,4,1,0,1,3.12,"(2,2);"
fold2,verifier_guided,4,2,0,1,3.09,"(2,2);(2,1);(2,0);"
fold2,verifier_guided,4,3,0,1,3.56,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,2);(1,3);(2,0);(2,1);(2,3);(3,0);(3,1);(3,2);(3,3)"
fold2,verifier_guided,4,4,0,1,2.8,"(3,2);"
fold2,verifier_guided,4,5,0,1,2.6,"(0,1);(1,1);(2,1);(3,0);"
fold2,verifier_guided,4,6,0,1,3.86,"(1,4);(2,4);(3,3);(3,4);(4,0);(4,1);(4,2);(4,3)"
fold2,verifier_guided,4,7,0,1,1.82,"(2,3);"
fold2,verifier_guided,4,8,0,1,3.64,"(0,0);(0,1);(0,2);(0,3);(1,1);(1,2);(2,1);(3,2)"
fold2,verifier_guided,4,9,0,1,3.69,"(1,0);(1,1);(1,2);(1,3); ⏎ (2,0);(2,1);(2,3); ⏎ (3,0);(3,1); ⏎ (4,3)"
fold2,verifier_guided,4,10,0,1,2.69,"(0,0);(0,1);(0,2);(0,3);(1,0);(1,2);(2,0);(2,1);(3,0);(3,1);(3,2)"
fold2,verifier_guided,4,11,0,1,3.21,"(0,2);(0,3);(1,0);(1,1);(1,3);(2,0);(2,1);(2,3);(3,2)"
fold2,verifier_guided,4,12,0,1,2.39,"(2,0);(2,1);(2,3);"
